Fuente	Media	Desviacion_Estandar	Puntos
Montecarlo	4048.6635201790773	2040.4961370563262	1466
Montecarlo	4038.3917137588696	2030.8792707043376	1466
Montecarlo	4145.069326111816	1989.8382668358659	1466
Montecarlo	4076.1247000547182	2009.20849605133	1466
Montecarlo	4090.5671164141645	2052.6276867078877	1466
Montecarlo	4057.400496477119	2020.1656818216436	1466
Montecarlo	4000.199083035367	2055.303297843829	1466
Montecarlo	3967.102497949782	2023.1003701971879	1466
Montecarlo	4142.469765064232	2062.4511292662946	1466
Montecarlo	4033.3913237764127	1989.8082641304331	1466
Montecarlo	4050.4575049944906	1995.014114384878	1466
Montecarlo	4013.720343585285	1983.5548677034137	1466
Montecarlo	4044.1890990602433	1953.7056240608538	1466
Montecarlo	4108.621202291717	2054.5516764804142	1466
Montecarlo	4133.076355073975	2004.8800026541344	1466
Montecarlo	4089.0837483292594	2046.9318265189502	1466
Montecarlo	4137.662540708023	2038.7526989340683	1466
Montecarlo	4063.4473481243144	1943.8303157723335	1466
Montecarlo	4019.9510510472637	2036.2673173091057	1466
Montecarlo	4082.2172513296377	2073.597956129461	1466
Montecarlo	4169.643111878371	2172.1905032023487	1466
Montecarlo	4062.7959791435346	2038.8870987045298	1466
Montecarlo	4147.307520118301	2037.4062619961137	1466
Montecarlo	3993.523415714586	2058.9214434829996	1466
Montecarlo	3990.69736422378	2026.3667113411873	1466
Montecarlo	4096.911660579871	2057.962153850528	1466
Montecarlo	4141.635482610262	2030.229560863891	1466
Montecarlo	4060.8156406119474	2065.4956773113213	1466
Montecarlo	4094.753322642284	2020.5209877217073	1466
Montecarlo	3997.4010513866774	1955.00953428633	1466
Montecarlo	4089.0605668837693	1994.5549086084743	1466
Montecarlo	4194.279691483584	1961.506802803313	1466
Montecarlo	4131.930129714617	2022.7832902515263	1466
Montecarlo	3999.9490903708315	1953.869442739457	1466
Montecarlo	4143.469165752561	2094.8709871604997	1466
Montecarlo	4120.836149069189	1991.9646075559383	1466
Montecarlo	4050.565694109453	2030.366592035995	1466
Montecarlo	4060.595717546933	2081.6535886491897	1466
Montecarlo	4026.2172194648415	2035.6646375302983	1466
Montecarlo	4015.2275024457786	2010.6865623137276	1466
Montecarlo	4029.9766173192756	1935.182164945618	1466
Montecarlo	4059.084292397153	2041.058593282637	1466
Montecarlo	4042.24189862919	2057.7472757707524	1466
